id,tweet_text
1001,@AppleSupport My iPhone overheats significantly when charging and using Maps #17
1002,@AppleSupport Is the iPhone 15 compatible with iOS 15?
1003,@AppleSupport The Control Centre needs a major redesign. Too cluttered #15
1004,@AppleSupport Please bring back the headphone jack! Missing it so much #14
1005,@AppleSupport My iPhone battery drains from 100% to 0% in 3 hours since iOS update #14
1006,@AppleSupport Messages not delivering on my iPhone. Shows sent but never received #17
1007,@AppleSupport Safari crashes immediately on my Mac when visiting most websites #15
1008,@AppleSupport My screen is unresponsive after the recent update. Had to hard reset #16
1009,@AppleSupport I wish the iPhone had a USB-C port. Why stick with Lightning? #14
1010,@AppleSupport AirDrop speed is incredible. Transferred 4GB in seconds #14
1011,@AppleSupport Verification code not coming through even after 3 attempts #15
1012,@AppleSupport Is Apple Care+ worth it for iPhone 15? #15
1013,@AppleSupport Accidental in-app purchase made by my kid. Can you help with a refund? #17
1014,@AppleSupport Wish Siri was smarter at context. Loses track after 2 questions #17
1015,@AppleSupport App Store shows error 'Cannot connect to App Store' on my iPad #17
1016,@AppleSupport Identity theft via Apple ID. Someone opened credit cards in my name
1017,@AppleSupport iOS 15 update broke my WiFi. I can't connect to any network now.
1018,@AppleSupport Can I get a job at Apple? #17
1019,@AppleSupport App Store shows error 'Cannot connect to App Store' on my iPad #16
1020,@AppleSupport Apple One subscription charged me but I can't access Apple TV+ #16
1021,@AppleSupport The new Dynamic Island is so cool! Great design choice #16
1022,@AppleSupport Can't sign in on my new iPhone. Keep getting 'Apple ID verification failed' #17
1023,@AppleSupport My Apple ID password reset email never arrived. What should I do?
1024,@AppleSupport Face ID not working in cold weather. Is this a known bug? #14
1025,@AppleSupport Face ID not working in cold weather. Is this a known bug? #17
1026,@AppleSupport App Store shows error 'Cannot connect to App Store' on my iPad #15
1027,@AppleSupport Love the new iOS update! Dark mode looks incredible 🖤 #17
1028,@AppleSupport Does the new iPad Pro support the Apple Pencil 2nd gen? #16
1029,@AppleSupport My screen is unresponsive after the recent update. Had to hard reset #15
1030,@AppleSupport iOS 14 update broke my WiFi. I can't connect to any network now.
1031,@AppleSupport Your hold music is actually pretty good lol #14
1032,@AppleSupport My MacBook Pro won't start after the latest macOS update #17
1033,@AppleSupport I'm locked out of my account. I've tried everything and nothing works!
1034,@AppleSupport Siri stopped working after I updated to the latest iOS. Doesn't respond #16
1035,@AppleSupport Notification grouping is still messy. Needs work Apple #17
1036,@AppleSupport Can't sign in on my new iPhone. Keep getting 'Apple ID verification failed' #17
1037,@AppleSupport Battery life on M2 MacBook Air is unreal. Full day easily #15
1038,@AppleSupport I was double-billed for iCloud+ storage this month #17
1039,@AppleSupport My screen is unresponsive after the recent update. Had to hard reset #14
1040,@AppleSupport I forgot my Apple ID email address and can't recover my account #16
1041,@AppleSupport When will the next macOS update be released? #15
1042,@AppleSupport App purchase failed but my card was charged. No receipt received #14
1043,@AppleSupport Please add calculator to iPad. Can't believe it's still missing #17
1044,@AppleSupport My account shows 'suspicious activity' but I haven't done anything #16
1045,@AppleSupport Wish Siri was smarter at context. Loses track after 2 questions #15
1046,@AppleSupport My Apple ID is linked to an old email I no longer have access to #17
1047,@AppleSupport Apple One subscription charged me but I can't access Apple TV+ #17
1048,@AppleSupport Does Tim Cook read these tweets? #14
1049,@AppleSupport iCloud sync stopped working — my photos aren't backing up #14
1050,@AppleSupport My iPhone speaker has distortion at high volumes after iOS update #14
1051,@AppleSupport AirDrop speed is incredible. Transferred 4GB in seconds #16
1052,@AppleSupport Does Apple offer student discounts on MacBooks? #14
1053,@AppleSupport Two-factor authentication is not sending a code to my phone #16
1054,@AppleSupport I can't log into my Apple ID! It says my account is locked. Please help!
1055,@AppleSupport Messages not delivering on my iPhone. Shows sent but never received #15
1056,@AppleSupport Accidental in-app purchase made by my kid. Can you help with a refund? #17
1057,@AppleSupport The new Dynamic Island is so cool! Great design choice #16
1058,@AppleSupport Two-factor authentication is not sending a code to my phone #15
1059,@AppleSupport Messages not delivering on my iPhone. Shows sent but never received #14
1060,@AppleSupport Just wanted to say thank you for the quick help yesterday! #16
1061,@AppleSupport Apple Pencil latency is imperceptible now. Artists will love this #15
1062,@AppleSupport Battery life on M2 MacBook Air is unreal. Full day easily #16
1063,@AppleSupport Absolutely love how fast Face ID is on iPhone 16 🔥 #16
1064,@AppleSupport Find My network shows my Mac as offline even though it's on #14
1065,@AppleSupport How do I merge two Apple ID accounts? I accidentally created two #16
1066,@AppleSupport Is the M2 chip compatible with Rosetta 2 apps? #16
1067,@AppleSupport Please bring back the headphone jack! Missing it so much #16
1068,@AppleSupport My screen is unresponsive after the recent update. Had to hard reset #17
1069,@AppleSupport I see an Apple charge on my credit card that I don't recognize #15
1070,@AppleSupport My Apple Watch won't pair with my new iPhone 17
1071,@AppleSupport My iPhone battery drains from 100% to 0% in 3 hours since iOS update #14
1072,@AppleSupport My subscription was renewed even after I cancelled it last month #17
1073,@AppleSupport My iPhone 14 keeps crashing every time I open the camera!
1074,@AppleSupport Bluetooth keeps disconnecting on my AirPods Pro every 5 minutes #14
1075,@AppleSupport My account was permanently locked and I'm locked out of my business data. CRITICAL
1076,@AppleSupport My iPhone speaker has distortion at high volumes after iOS update #17
1077,@AppleSupport I changed my phone number and now can't receive 2FA codes #15
1078,@AppleSupport My iPhone speaker has distortion at high volumes after iOS update #15
1079,@AppleSupport My AirTag shows 'Not Reachable' even though it's right next to me #16
1080,@AppleSupport My MacBook Pro won't start after the latest macOS update #14
1081,@AppleSupport Home button feels sticky and sometimes doesn't respond #14
1082,@AppleSupport Safari crashes immediately on my Mac when visiting most websites #17
1083,@AppleSupport Find My network shows my Mac as offline even though it's on #17
1084,@AppleSupport Hi Apple! Can you sponsor my YouTube channel? #14
1085,@AppleSupport Family sharing isn't working but each member is being charged separately #14
1086,@AppleSupport How long does an account recovery request take? Been 3 days #14
1087,@AppleSupport Does the new iPad Pro support the Apple Pencil 2nd gen? #17
1088,@AppleSupport My iPhone 17 keeps crashing every time I open the camera!
1089,@AppleSupport I see an Apple charge on my credit card that I don't recognize #15
1090,@AppleSupport Family sharing isn't working but each member is being charged separately #17
1091,@AppleSupport Apple One subscription charged me but I can't access Apple TV+ #15
1092,@AppleSupport My MacBook Pro won't start after the latest macOS update #15
1093,@AppleSupport Siri stopped working after I updated to the latest iOS. Doesn't respond #17
1094,@AppleSupport Notification grouping is still messy. Needs work Apple #15
1095,@AppleSupport Two-factor authentication is not sending a code to my phone #16
1096,@AppleSupport Your hold music is actually pretty good lol #16
1097,@AppleSupport Can't sign in on my new iPhone. Keep getting 'Apple ID verification failed' #14
1098,@AppleSupport Can't sign in on my new iPhone. Keep getting 'Apple ID verification failed' #14
1099,@AppleSupport My AirTag shows 'Not Reachable' even though it's right next to me #14
1100,@AppleSupport Is the iPhone 15 compatible with iOS 15?
1101,@AppleSupport Please bring back the headphone jack! Missing it so much #16
1102,@AppleSupport Can't sign in on my new iPhone. Keep getting 'Apple ID verification failed' #15
1103,@AppleSupport Does Tim Cook read these tweets? #15
1104,@AppleSupport Verification code not coming through even after 3 attempts #14
1105,@AppleSupport I cannot access my account and my medical emergency contacts are all stored there!
1106,@AppleSupport My iPhone speaker has distortion at high volumes after iOS update #17
1107,@AppleSupport Podcasts app keeps crashing mid-episode. Tried reinstalling #16
1108,@AppleSupport Does the new iPad Pro support the Apple Pencil 2nd gen? #16
1109,@AppleSupport My account shows 'suspicious activity' but I haven't done anything #15
1110,@AppleSupport My iPhone speaker has distortion at high volumes after iOS update #15
1111,@AppleSupport Family sharing isn't working but each member is being charged separately #17
1112,@AppleSupport Siri stopped working after I updated to the latest iOS. Doesn't respond #15
1113,@AppleSupport My Apple ID password reset email never arrived. What should I do?
1114,@AppleSupport Find My network shows my Mac as offline even though it's on #17
1115,@AppleSupport Can I use Apple Pay in stores internationally? #15
1116,@AppleSupport My MacBook Pro won't start after the latest macOS update #15
1117,@AppleSupport iOS 14 update broke my WiFi. I can't connect to any network now.
1118,@AppleSupport My Apple ID is linked to an old email I no longer have access to #15
1119,@AppleSupport My iPhone battery drains from 100% to 0% in 3 hours since iOS update #17
1120,@AppleSupport Please bring back the headphone jack! Missing it so much #15
1121,@AppleSupport Verification code not coming through even after 3 attempts #15
1122,@AppleSupport I received a refund email but it hasn't appeared in my bank account #15
1123,@AppleSupport Bluetooth keeps disconnecting on my AirPods Pro every 5 minutes #14
1124,@AppleSupport Touch ID stopped recognizing my fingerprint out of nowhere #14
1125,@AppleSupport My AirTag shows 'Not Reachable' even though it's right next to me #14
1126,@AppleSupport My iPhone overheats significantly when charging and using Maps #14
1127,@AppleSupport What charities does Apple support? #15
1128,@AppleSupport Accidental in-app purchase made by my kid. Can you help with a refund? #14
1129,@AppleSupport iCloud storage downgraded automatically but still charged full price #17
1130,@AppleSupport Night Mode camera is absolutely stunning. Best phone camera ever #14
1131,@AppleSupport I received a refund email but it hasn't appeared in my bank account #16
1132,@AppleSupport Two-factor authentication is not sending a code to my phone #16
1133,@AppleSupport Love the new iOS update! Dark mode looks incredible 🖤 #16
1134,@AppleSupport My iPhone overheats significantly when charging and using Maps #14
1135,@AppleSupport Is the iPhone 16 compatible with iOS 16?
1136,@AppleSupport Siri stopped working after I updated to the latest iOS. Doesn't respond #16
1137,@AppleSupport iOS 15 update broke my WiFi. I can't connect to any network now.
1138,@AppleSupport Podcasts app keeps crashing mid-episode. Tried reinstalling #14
1139,@AppleSupport Is the iPhone 14 compatible with iOS 14?
1140,@AppleSupport My iPhone battery drains from 100% to 0% in 3 hours since iOS update #16
1141,@AppleSupport App Store shows error 'Cannot connect to App Store' on my iPad #16
1142,@AppleSupport I was charged twice for the same app purchase! Need a refund #15
1143,@AppleSupport Is the Apple Store on 5th Ave open on Christmas? #16
1144,@AppleSupport App Store shows error 'Cannot connect to App Store' on my iPad #17
1145,@AppleSupport Siri stopped working after I updated to the latest iOS. Doesn't respond #16
1146,@AppleSupport I can't log into my Apple ID! It says my account is locked. Please help!
1147,@AppleSupport My subscription was renewed even after I cancelled it last month #14
1148,"@AppleSupport Sign-in loop: enters password, goes back to login screen #16"
1149,@AppleSupport I received a refund email but it hasn't appeared in my bank account #15
1150,@AppleSupport My Apple Pay transaction failed but money left my account #15
1151,@AppleSupport Does Apple offer student discounts on MacBooks? #17
1152,@AppleSupport I was double-billed for iCloud+ storage this month #14
1153,@AppleSupport Messages not delivering on my iPhone. Shows sent but never received #15
1154,@AppleSupport iCloud sync stopped working — my photos aren't backing up #14
1155,@AppleSupport Is the iPhone 17 waterproof? What rating?
1156,@AppleSupport Podcasts app keeps crashing mid-episode. Tried reinstalling #15
1157,@AppleSupport Just wanted to say thank you for the quick help yesterday! #17
